Player,DKP Player Average,DKS Player Average,DKP/DKS Player Average,PlayOff 
"Brown, Noah",1.3,3000,0.000433333,1
"Bryant, Martavis",5.8625,3050,0.001922131,2
Buffalo,6.6875,2493.75,0.002681704,2
"Burkhead, Rex",6.3375,3700,0.001712838,1
"Burnett, Deontay",4.86,2460,0.00197561,2
"Burton, Michael",0.2,3000,6.66667E-05,1
"Burton, Trey",9.44375,4043.75,0.002335394,1
"Butler, Brice",2.571428571,3000,0.000857143,1
"Butt, Jake",5.5,2700,0.002037037,2
"Byrd, Damiere",0.225,3000,0.000075,2
"Cadet, Travaris",3.2,3000,0.001066667,2
"Callaway, Antonio",8.33125,3925,0.002122611,2
"Cannon, Trenton",3.04375,3125,0.000974,2
Carolina,5.75,2625,0.002190476,2
"Carr, Austin",2.192857143,3014.285714,0.000727488,1
"Carr, Derek",15.36,5143.75,0.002986148,2
"Carrier, Derek",1.23125,2500,0.0004925,2
"Carroo, Leonte",2.35,3000,0.000783333,2
"Carson, Chris",15.81428571,4814.285714,0.003284866,1
"Carter, DeAndre",3.330769231,3092.307692,0.001077114,1
"Cassel, Matt",1.33,4300,0.000309302,2
"Celek, Garrett",1.733333333,2520,0.000687831,2
"Chark, D.J.",3.04,3250,0.000935385,2
"Charles, Jamaal",1.7,1500,0.001133333,2
"Charles, Orson",0.407692308,2500,0.000163077,2
"Chesson, Jehu",0.13,3000,4.33333E-05,2
Chicago,11.6875,3062.5,0.003816327,1
"Chubb, Nick",12.90625,5137.5,0.002512165,2
